id,area,area_id,area_en,address,zipcode
1,東区1,1,Higashi-ku District No.1,札幌市東区北34条東1丁目～15丁目,70834
2,東区1,1,Higashi-ku District No.1,札幌市東区北35条東1丁目～15丁目,70835
3,東区1,1,Higashi-ku District No.1,札幌市東区北36条東1丁目～15丁目,70836
4,東区1,1,Higashi-ku District No.1,札幌市東区北37条東1丁目～15丁目,70837
5,東区1,1,Higashi-ku District No.1,札幌市東区北38条東1丁目～15丁目,70838
6,東区1,1,Higashi-ku District No.1,札幌市東区北39条東1丁目～15丁目,70839
7,東区1,1,Higashi-ku District No.1,札幌市東区北40条東1丁目～15丁目,70840
8,東区1,1,Higashi-ku District No.1,札幌市東区北41条東1丁目～15丁目,70841
9,東区1,1,Higashi-ku District No.1,札幌市東区北42条東1丁目～15丁目,70842
10,東区1,1,Higashi-ku District No.1,札幌市東区北43条東1丁目～15丁目,70843
11,東区1,1,Higashi-ku District No.1,札幌市東区北44条東1丁目～15丁目,70844
12,東区1,1,Higashi-ku District No.1,札幌市東区北45条東1丁目～15丁目,70845
13,東区1,1,Higashi-ku District No.1,札幌市東区北46条東1丁目～15丁目,70846
14,東区1,1,Higashi-ku District No.1,札幌市東区北47条東1丁目～15丁目,70847
15,東区1,1,Higashi-ku District No.1,札幌市東区北48条東1丁目～15丁目,70848
16,東区1,1,Higashi-ku District No.1,札幌市東区北49条東1丁目～15丁目,70849
17,東区1,1,Higashi-ku District No.1,札幌市東区北50条東1丁目～15丁目,70850
18,東区1,1,Higashi-ku District No.1,札幌市東区北51条東1丁目～15丁目,70851
19,東区2,2,Higashi-ku District No.2,札幌市東区北34条東16丁目～30丁目,70834
20,東区2,2,Higashi-ku District No.2,札幌市東区北35条東16丁目～30丁目,70835
21,東区2,2,Higashi-ku District No.2,札幌市東区北36条東16丁目～30丁目,70836
22,東区2,2,Higashi-ku District No.2,札幌市東区北37条東16丁目～30丁目,70837
23,東区2,2,Higashi-ku District No.2,札幌市東区北38条東16丁目～30丁目,70838
24,東区2,2,Higashi-ku District No.2,札幌市東区北39条東16丁目～30丁目,70839
25,東区2,2,Higashi-ku District No.2,札幌市東区北40条東16丁目～30丁目,70840
26,東区2,2,Higashi-ku District No.2,札幌市東区北41条 東16丁目～30丁目,70841
27,東区2,2,Higashi-ku District No.2,札幌市東区北42条 東16丁目～30丁目,70842
28,東区2,2,Higashi-ku District No.2,札幌市東区北43条 東16丁目～30丁目,70843
29,東区2,2,Higashi-ku District No.2,札幌市東区北44条 東16丁目～30丁目,70844
30,東区2,2,Higashi-ku District No.2,札幌市東区北45条 東16丁目～30丁目,70845
31,東区2,2,Higashi-ku District No.2,札幌市東区北46条 東16丁目～30丁目,70846
32,東区2,2,Higashi-ku District No.2,札幌市東区北47条 東16丁目～30丁目,70847
33,東区2,2,Higashi-ku District No.2,札幌市東区北48条 東16丁目～30丁目,70848
34,東区2,2,Higashi-ku District No.2,札幌市東区北49条 東16丁目～30丁目,70849
35,東区2,2,Higashi-ku District No.2,札幌市東区伏古11条 1丁目～5丁目,70871
36,東区2,2,Higashi-ku District No.2,札幌市東区伏古12条 1丁目～5丁目,70872
37,東区2,2,Higashi-ku District No.2,札幌市東区伏古13条 1丁目～5丁目,70873
38,東区2,2,Higashi-ku District No.2,札幌市東区伏古14条 1丁目～5丁目,70874
39,東区2,2,Higashi-ku District No.2,札幌市東区丘珠町○番地,70880
40,東区2,2,Higashi-ku District No.2,札幌市東区栄町○番地,70852
41,東区2,2,Higashi-ku District No.2,札幌市東区北丘珠1条○丁目,70881
42,東区2,2,Higashi-ku District No.2,札幌市東区北丘珠2条○丁目,70882
43,東区2,2,Higashi-ku District No.2,札幌市東区北丘珠3条○丁目,70883
44,東区2,2,Higashi-ku District No.2,札幌市東区北丘珠4条○丁目,70884
45,東区2,2,Higashi-ku District No.2,札幌市東区北丘珠5条○丁目,70885
46,東区2,2,Higashi-ku District No.2,札幌市東区北丘珠6条○丁目,70886
47,東区2,2,Higashi-ku District No.2,札幌市東区東苗穂町○番地,650043
48,東区3,3,Higashi-ku District No.3,札幌市東区伏古1条 1丁目～5丁目,70861
49,東区3,3,Higashi-ku District No.3,札幌市東区伏古2条 1丁目～5丁目,70862
50,東区3,3,Higashi-ku District No.3,札幌市東区伏古3条 1丁目～5丁目,70863
51,東区3,3,Higashi-ku District No.3,札幌市東区伏古4条 1丁目～5丁目,70864
52,東区3,3,Higashi-ku District No.3,札幌市東区伏古5条 1丁目～5丁目,70865
53,東区3,3,Higashi-ku District No.3,札幌市東区伏古6条 1丁目～5丁目,70866
54,東区3,3,Higashi-ku District No.3,札幌市東区伏古7条 1丁目～5丁目,70867
55,東区3,3,Higashi-ku District No.3,札幌市東区伏古8条 1丁目～5丁目,70868
56,東区3,3,Higashi-ku District No.3,札幌市東区伏古9条 1丁目～5丁目,70869
57,東区3,3,Higashi-ku District No.3,札幌市東区伏古10条 1丁目～5丁目,70870
58,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂1条○丁目,70801
59,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂2条○丁目,70802
60,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂3条○丁目,70803
61,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂4条○丁目,70804
62,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂5条○丁目,70805
63,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂6条○丁目,70806
64,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂7条○丁目,70807
65,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂8条○丁目,70808
66,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂9条○丁目,70809
67,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂10条○丁目,70810
68,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂11条○丁目,70811
69,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂12条○丁目,70812
70,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂13条○丁目,70813
71,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂14条○丁目,70814
72,東区3,3,Higashi-ku District No.3,札幌市東区東苗穂15条○丁目,70815
73,東区3,3,Higashi-ku District No.3,札幌市東区東雁来1条○丁目,70821
74,東区3,3,Higashi-ku District No.3,札幌市東区東雁来2条○丁目,70822
75,東区3,3,Higashi-ku District No.3,札幌市東区東雁来3条○丁目,70823
76,東区3,3,Higashi-ku District No.3,札幌市東区東雁来4条○丁目,70824
77,東区3,3,Higashi-ku District No.3,札幌市東区東雁来5条○丁目,70825
78,東区3,3,Higashi-ku District No.3,札幌市東区東雁来6条○丁目,70826
79,東区3,3,Higashi-ku District No.3,札幌市東区東雁来7条○丁目,70827
80,東区3,3,Higashi-ku District No.3,札幌市東区東雁来8条○丁目,70828
81,東区3,3,Higashi-ku District No.3,札幌市東区東雁来9条○丁目,70829
82,東区3,3,Higashi-ku District No.3,札幌市東区東雁来10条○丁目,70830
83,東区3,3,Higashi-ku District No.3,札幌市東区東雁来11条○丁目,70831
84,東区3,3,Higashi-ku District No.3,札幌市東区東雁来12条○丁目,70832
85,東区3,3,Higashi-ku District No.3,札幌市東区東雁来13条○丁目,70833
86,東区3,3,Higashi-ku District No.3,札幌市東区東雁来14条○丁目,70834
87,東区3,3,Higashi-ku District No.3,札幌市東区東雁来15条○丁目,70835
88,東区3,3,Higashi-ku District No.3,札幌市東区東雁来町○番地,70820
89,東区3,3,Higashi-ku District No.3,札幌市東区中沼1条○丁目,70001
90,東区3,3,Higashi-ku District No.3,札幌市東区中沼2条○丁目,70002
91,東区3,3,Higashi-ku District No.3,札幌市東区中沼3条○丁目,70003
92,東区3,3,Higashi-ku District No.3,札幌市東区中沼4条○丁目,70004
93,東区3,3,Higashi-ku District No.3,札幌市東区中沼5条○丁目,70005
94,東区3,3,Higashi-ku District No.3,札幌市東区中沼6条○丁目,70006
95,東区3,3,Higashi-ku District No.3,札幌市東区中沼町○番地,70890
96,東区3,3,Higashi-ku District No.3,札幌市東区中沼西1条○丁目,70821
97,東区3,3,Higashi-ku District No.3,札幌市東区中沼西2条○丁目,70822
98,東区3,3,Higashi-ku District No.3,札幌市東区中沼西3条○丁目,70823
99,東区3,3,Higashi-ku District No.3,札幌市東区中沼西4条○丁目,70824
100,東区3,3,Higashi-ku District No.3,札幌市東区中沼西5条○丁目,70825
101,東区4,4,Higashi-ku District No.4,札幌市東区北5条 東1丁目～7丁目,600905|650005
102,東区4,4,Higashi-ku District No.4,札幌市東区北6条 東1丁目～7丁目,600906|650006
103,東区4,4,Higashi-ku District No.4,札幌市東区北7条 東1丁目～7丁目,600907|650007
104,東区4,4,Higashi-ku District No.4,札幌市東区北8条 東1丁目～7丁目,600908|650008
105,東区4,4,Higashi-ku District No.4,札幌市東区北9条 東1丁目～7丁目,600909|650009
106,東区4,4,Higashi-ku District No.4,札幌市東区北10条東1丁目～7丁目,650010
107,東区4,4,Higashi-ku District No.4,札幌市東区北11条 東1丁目～7丁目,650011
108,東区4,4,Higashi-ku District No.4,札幌市東区北12条 東1丁目～7丁目,650012
109,東区4,4,Higashi-ku District No.4,札幌市東区北13条 東1丁目～7丁目,650013
110,東区4,4,Higashi-ku District No.4,札幌市東区北14条 東1丁目～7丁目,650014
111,東区4,4,Higashi-ku District No.4,札幌市東区北15条 東1丁目～7丁目,650015
112,東区4,4,Higashi-ku District No.4,札幌市東区北16条 東1丁目～7丁目,650016
113,東区4,4,Higashi-ku District No.4,札幌市東区北17条 東1丁目～7丁目,650017
114,東区4,4,Higashi-ku District No.4,札幌市東区北18条 東1丁目～7丁目,650018
115,東区4,4,Higashi-ku District No.4,札幌市東区北19条 東1丁目～7丁目,650019
116,東区4,4,Higashi-ku District No.4,札幌市東区北20条 東1丁目～7丁目,650020
117,東区4,4,Higashi-ku District No.4,札幌市東区北21条 東1丁目～7丁目,650021
118,東区4,4,Higashi-ku District No.4,札幌市東区北22条 東1丁目～7丁目,650022
119,東区4,4,Higashi-ku District No.4,札幌市東区北23条 東1丁目～7丁目,650023
120,東区4,4,Higashi-ku District No.4,札幌市東区北24条 東1丁目～7丁目,650024
121,東区4,4,Higashi-ku District No.4,札幌市東区北25条 東1丁目～7丁目,650025
122,東区4,4,Higashi-ku District No.4,札幌市東区北26条 東1丁目～7丁目,650026
123,東区4,4,Higashi-ku District No.4,札幌市東区北27条 東1丁目～7丁目,650027
124,東区4,4,Higashi-ku District No.4,札幌市東区北28条 東1丁目～7丁目,650028
125,東区4,4,Higashi-ku District No.4,札幌市東区北29条 東1丁目～7丁目,650029
126,東区4,4,Higashi-ku District No.4,札幌市東区北30条 東1丁目～7丁目,650030
127,東区4,4,Higashi-ku District No.4,札幌市東区北31条 東1丁目～7丁目,650031
128,東区4,4,Higashi-ku District No.4,札幌市東区北32条 東1丁目～7丁目,650032
129,東区4,4,Higashi-ku District No.4,札幌市東区北33条 東1丁目～7丁目,650033
130,東区5,5,Higashi-ku District No.5,札幌市東区北15条 東8丁目～15丁目,650015
131,東区5,5,Higashi-ku District No.5,札幌市東区北16条 東8丁目～15丁目,650016
132,東区5,5,Higashi-ku District No.5,札幌市東区北17条 東8丁目～15丁目,650017
133,東区5,5,Higashi-ku District No.5,札幌市東区北18条 東8丁目～15丁目,650018
134,東区5,5,Higashi-ku District No.5,札幌市東区北19条 東8丁目～15丁目,650019
135,東区5,5,Higashi-ku District No.5,札幌市東区北20条 東8丁目～15丁目,650020
136,東区5,5,Higashi-ku District No.5,札幌市東区北21条 東8丁目～15丁目,650021
137,東区5,5,Higashi-ku District No.5,札幌市東区北22条 東8丁目～15丁目,650022
138,東区5,5,Higashi-ku District No.5,札幌市東区北23条 東8丁目～15丁目,650023
139,東区5,5,Higashi-ku District No.5,札幌市東区北24条 東8丁目～15丁目,650024
140,東区5,5,Higashi-ku District No.5,札幌市東区北25条 東8丁目～15丁目,650025
141,東区5,5,Higashi-ku District No.5,札幌市東区北26条 東8丁目～15丁目,650026
142,東区5,5,Higashi-ku District No.5,札幌市東区北27条 東8丁目～15丁目,650027
143,東区5,5,Higashi-ku District No.5,札幌市東区北28条 東8丁目～15丁目,650028
144,東区5,5,Higashi-ku District No.5,札幌市東区北29条 東8丁目～15丁目,650029
145,東区5,5,Higashi-ku District No.5,札幌市東区北30条 東8丁目～15丁目,650030
